tripduration,starttime,stoptime,startstationid,startstationname,startstationlatitude,startstationlongitude,endstationid,endstationname,endstationlatitude,endstationlongitude,bikeid,usertype,birthyear,gender
433,2/22/2015 7:16,2/22/2015 7:23,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,862,Subscriber,1988,2
492,2/22/2015 8:44,2/22/2015 8:52,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,672,Subscriber,1987,2
390,2/22/2015 8:45,2/22/2015 8:51,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1267,Subscriber,1978,2
665,2/22/2015 8:57,2/22/2015 9:08,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,115,Porter Square Station,42.387995,-71.119084,751,Subscriber,1985,1
361,2/22/2015 9:12,2/22/2015 9:18,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,107,Ames St at Main St,42.3625,-71.08822,639,Subscriber,1988,1
186,2/22/2015 9:39,2/22/2015 9:42,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,662,Customer,1992,2
173,2/22/2015 9:39,2/22/2015 9:42,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1004,Customer,1990,1
337,2/22/2015 10:11,2/22/2015 10:16,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1095,Subscriber,1984,1
380,2/22/2015 10:13,2/22/2015 10:19,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,708,Subscriber,1983,1
430,2/22/2015 10:27,2/22/2015 10:35,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1075,Subscriber,1992,1
214,2/22/2015 10:54,2/22/2015 10:57,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,754,Subscriber,1991,1
862,2/22/2015 11:11,2/22/2015 11:25,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,881,Subscriber,1981,2
170,2/22/2015 11:22,2/22/2015 11:24,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,1305,Customer,1979,2
204,2/22/2015 12:05,2/22/2015 12:09,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,842,Customer,1962,1
342,2/22/2015 12:06,2/22/2015 12:12,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,873,Subscriber,1994,1
